pref,1,2,3
北海道,6.79562,10.48625,82.71813
青森県,11.72949,12.77909,75.49141
岩手県,9.91349,16.03051,74.056
宮城県,3.62365,14.0531,82.32325
秋田県,7.92285,15.35545,76.7217
山形県,7.84735,20.19623,71.95642
福島県,6.37469,19.79404,73.83127
茨城県,5.58124,18.29523,76.12352
栃木県,5.57439,19.54897,74.87664
群馬県,4.70661,19.85349,75.43991
埼玉県,1.57671,15.16216,83.26113
千葉県,2.84503,11.15378,86.00118
東京都,0.30513,10.69017,89.0047
神奈川県,0.74002,11.76805,87.49193
新潟県,4.93637,18.58018,76.48346
富山県,2.34351,21.85558,75.80092
石川県,2.22002,18.60025,79.17973
福井県,2.82985,21.56915,75.601
山梨県,6.81271,17.87449,75.3128
長野県,8.86713,18.65463,72.47824
岐阜県,2.81577,21.65237,75.53185
静岡県,3.69637,20.91668,75.38695
愛知県,2.35257,19.59782,78.04961
三重県,3.05266,18.69484,78.2525
滋賀県,2.12177,20.65742,77.22081
京都府,1.72671,14.90528,83.36801
大阪府,0.35592,14.29172,85.35236
兵庫県,1.56877,14.95103,83.48021
奈良県,2.05679,13.91249,84.03072
和歌山県,8.62186,12.67129,78.70685
鳥取県,7.57078,14.59196,77.83726
島根県,5.97604,13.61056,80.4134
岡山県,4.0288,15.97953,79.99167
広島県,2.83293,15.04205,82.12502
山口県,4.13759,13.17313,82.68928
徳島県,7.73527,13.18294,79.08179
香川県,4.60268,15.84863,79.5487
愛媛県,6.49797,13.80118,79.70085
高知県,9.81009,8.84406,81.34586
福岡県,2.60906,11.78766,85.60328
滋賀県,7.60144,14.81345,77.58511
長崎県,6.00277,10.74526,83.25197
熊本県,8.53583,12.25165,79.21252
大分県,5.78718,12.09847,82.11435
宮崎県,9.35562,13.23831,77.40607
鹿児島県,7.41262,12.29597,80.29141
沖縄県,2.66712,7.22039,90.11249
